30/01/2020,Kerala,0,0,1
31/01/2020,Kerala,0,0,1
1/02/2020,Kerala,0,0,2
2/02/2020,Kerala,0,0,3
3/02/2020,Kerala,0,0,3
4/02/2020,Kerala,0,0,3
5/02/2020,Kerala,0,0,3
6/02/2020,Kerala,0,0,3
7/02/2020,Kerala,0,0,3
8/02/2020,Kerala,0,0,3
9/02/2020,Kerala,0,0,3
10/02/2020,Kerala,0,0,3
11/02/2020,Kerala,0,0,3
12/02/2020,Kerala,0,0,3
13/02/2020,Kerala,0,0,3
14/02/2020,Kerala,0,0,3
15/02/2020,Kerala,0,0,3
16/02/2020,Kerala,0,0,3
17/02/2020,Kerala,0,0,3
18/02/2020,Kerala,0,0,3
19/02/2020,Kerala,0,0,3
20/02/2020,Kerala,0,0,3
21/02/2020,Kerala,0,0,3
22/02/2020,Kerala,0,0,3
23/02/2020,Kerala,0,0,3
24/02/2020,Kerala,0,0,3
25/02/2020,Kerala,0,0,3
26/02/2020,Kerala,0,0,3
27/02/2020,Kerala,0,0,3
28/02/2020,Kerala,0,0,3
29/02/2020,Kerala,0,0,3
1/03/2020,Kerala,0,0,3
2/03/2020,Telengana,0,0,1
2/03/2020,Kerala,0,0,3
2/03/2020,Delhi,0,0,1
3/03/2020,Telengana,0,0,1
3/03/2020,Rajasthan,0,0,1
3/03/2020,Kerala,3,0,3
3/03/2020,Delhi,0,0,1
4/03/2020,Uttar Pradesh,0,0,6
4/03/2020,Kerala,3,0,3
4/03/2020,Haryana,0,0,2
4/03/2020,Delhi,0,0,1
4/03/2020,Telengana,0,0,1
4/03/2020,Rajasthan,0,0,15
5/03/2020,Delhi,0,0,2
5/03/2020,Haryana,0,0,2
5/03/2020,Kerala,3,0,3
5/03/2020,Rajasthan,0,0,15
5/03/2020,Telengana,0,0,1
5/03/2020,Uttar Pradesh,0,0,7
6/03/2020,Delhi,0,0,3
6/03/2020,Haryana,0,0,2
6/03/2020,Kerala,3,0,3
6/03/2020,Rajasthan,0,0,15
6/03/2020,Uttar Pradesh,0,0,7
6/03/2020,Telengana,0,0,1
7/03/2020,Kerala,3,0,3
7/03/2020,Uttar Pradesh,0,0,7
7/03/2020,Ladakh,0,0,2
7/03/2020,Telengana,0,0,1
7/03/2020,Tamil Nadu,0,0,1
7/03/2020,Delhi,0,0,3
7/03/2020,Haryana,0,0,2
7/03/2020,Rajasthan,0,0,15
8/03/2020,Ladakh,0,0,2
8/03/2020,Telengana,0,0,1
8/03/2020,Tamil Nadu,0,0,1
8/03/2020,Rajasthan,0,0,15
8/03/2020,Kerala,3,0,8
8/03/2020,Haryana,0,0,2
8/03/2020,Delhi,0,0,3
8/03/2020,Uttar Pradesh,0,0,7
9/03/2020,Ladakh,0,0,2
9/03/2020,Karnataka,0,0,1
9/03/2020,Kerala,3,0,9
9/03/2020,Maharashtra,0,0,2
9/03/2020,Punjab,0,0,1
9/03/2020,Rajasthan,0,0,15
9/03/2020,Tamil Nadu,0,0,1
9/03/2020,Telengana,0,0,1
9/03/2020,Jammu and Kashmir,0,0,1
9/03/2020,Uttar Pradesh,0,0,7
9/03/2020,Haryana,0,0,2
9/03/2020,Delhi,0,0,4
10/03/2020,Uttar Pradesh,0,0,7
10/03/2020,Ladakh,0,0,2
10/03/2020,Delhi,0,0,4
10/03/2020,Haryana,0,0,2
10/03/2020,Karnataka,0,0,4
10/03/2020,Kerala,3,0,15
10/03/2020,Maharashtra,0,0,5
10/03/2020,Punjab,0,0,1
10/03/2020,Rajasthan,0,0,15
10/03/2020,Tamil Nadu,0,0,1
10/03/2020,Telengana,0,0,1
